"","area","age","mean","lower_ART","upper_ART","inc","lower_inc","upper_inc","level","prev","lower_prev","upper_prev","country","sex"
"3071","Issia","Y020_024",0.734090767436788,0.555707030355878,0.856626697048239,0.00062354388841969,0.00042586176535524,0.000876445720681071,2,0.0128565924365012,0.00806484152112423,0.0192370480788593,"CIV","female"
"3072","Issia","Y025_029",0.867407847116794,0.780404676041406,0.930002237543952,0.00068079776801284,0.000464959057828252,0.000956935268925293,2,0.0140283122617584,0.0091642309077147,0.0207229986593868,"CIV","female"
"3073","Itezhi-tezhi","Y010_014",0.831399073910729,0.68563198626835,0.933423006326736,0,0,0,2,0.0144709466046691,0.0102852037140428,0.0188408210091415,"ZMB","female"
"3074","Itezhi-tezhi","Y015_019",0.858056291890118,0.721748712391704,0.944313388983886,0.00426654831043457,0.00311218715529543,0.0056706628012792,2,0.0272865717228405,0.0185916595359366,0.0383758912676776,"ZMB","female"
"3075","Itezhi-tezhi","Y020_024",0.831727337728799,0.664676604455937,0.936739347971503,0.00646913565528971,0.00471916969179618,0.00859738874361353,2,0.0681861544977145,0.0465465590998944,0.0947948918141617,"ZMB","female"
"3076","Itezhi-tezhi","Y025_029",0.871060361607131,0.723275107097659,0.953016763582267,0.00588590484183171,0.00429361882827374,0.00782248236140947,2,0.133547508124178,0.0973130334442875,0.178637371752988,"ZMB","female"
"3077","Itigi Dc","Y010_014",0.814515923614132,0.538540785260876,0.955179193071285,0,0,0,4,0.00320487180389146,0.00173552504584713,0.00534334162079329,"TZA","female"
"3078","Itigi Dc","Y015_019",0.955619104689819,0.840020852829291,0.990211413486521,0.000947137223170463,0.000534338662203442,0.00158627281628028,4,0.00724728938048626,0.00434114725895617,0.0112944578343382,"TZA","female"
"3079","Itigi Dc","Y020_024",0.950457106073957,0.813025506084935,0.987960340516072,0.00135179349191721,0.000762522030316151,0.00226449203318179,4,0.0188158300674397,0.0118809726118017,0.0286819560375661,"TZA","female"
"3080","Itigi Dc","Y025_029",0.95492236469573,0.83096819222951,0.989162895505274,0.00133901086202077,0.000755313934247459,0.00224306805932061,4,0.0403057315275538,0.0261332938585613,0.0594958992965532,"TZA","female"
"3081","Itilima Dc","Y010_014",0.869731464898493,0.597465687606792,0.977310107285314,0,0,0,4,0.00139988092775229,0.00082833272070104,0.00217518569898316,"TZA","female"
"3082","Itilima Dc","Y015_019",0.971679067702513,0.899987300639539,0.993930819904071,0.000406043919762652,0.000242557066651792,0.000673356768942362,4,0.00357475456761994,0.00225174499134119,0.00536445829579292,"TZA","female"
"3083","Itilima Dc","Y020_024",0.968201266067644,0.894771434518917,0.993123502073612,0.000579643130604293,0.000346240011861013,0.000961330551910158,4,0.0102942722506094,0.00670513983897953,0.0153785150307592,"TZA","female"
"3084","Itilima Dc","Y025_029",0.970999828970652,0.903098028644327,0.993660196706242,0.000574580745034455,0.000343216561714974,0.000952932471440203,4,0.018948632757684,0.0122462684357958,0.0287013964158808,"TZA","female"
"3085","J T Gaetsewe Dm","Y010_014",0.599045790057591,0.449794808054471,0.731379605559319,8.32871775823812e-05,6.06220152440015e-05,0.000116088106471969,2,0.011500895559566,0.00766473751327824,0.0164321767626449,"ZAF","female"
"3086","J T Gaetsewe Dm","Y015_019",0.457242770431195,0.335939282241652,0.582807689443526,0.00823001389635262,0.00533557234162851,0.0128197340151741,2,0.0334450252965772,0.0247347765257973,0.0452409516956185,"ZAF","female"
"3087","J T Gaetsewe Dm","Y020_024",0.453463215483888,0.357978063052594,0.55805110009739,0.0143022389958921,0.00926300968611682,0.0223135643446797,2,0.119010720311675,0.0878199692190918,0.160198943345586,"ZAF","female"
"3088","J T Gaetsewe Dm","Y025_029",0.636279552655202,0.544431316495317,0.727760930119765,0.00923381213374989,0.0059858159642041,0.014385333390396,2,0.212703377571684,0.163801035861202,0.276119507865524,"ZAF","female"
"3089","Jacmel","Y010_014",0.448226985084283,0.282186165621158,0.621598803479528,0,0,0,2,0.00112498888290734,0.000626208972114317,0.00180352428878136,"HTI","female"
"3090","Jacmel","Y015_019",0.604202558013591,0.448967961076227,0.736390439729842,0.00094025670147924,0.000524072424301241,0.001509851677013,2,0.00357062870490289,0.00203839945561884,0.00579340421182853,"HTI","female"
"3091","Jacmel","Y020_024",0.707669280816425,0.566293078916101,0.817406685170698,0.0012715078146482,0.000708648088336509,0.00204198449521477,2,0.00989201631562517,0.00557057967348657,0.0160169360383789,"HTI","female"
"3092","Jacmel","Y025_029",0.764983799377992,0.638751497305543,0.858402179192156,0.00113856614366992,0.000634574909051866,0.00182841096282953,2,0.0184044443791432,0.0104783058786609,0.029839783746672,"HTI","female"
"3093","Jacqueville","Y010_014",0.356860748659716,0.172649062461886,0.57462989786584,0,0,0,2,0.00223165727603872,0.00114495751417515,0.00400899310971737,"CIV","female"
"3094","Jacqueville","Y015_019",0.83848465319652,0.657386392975572,0.937432273443419,0.000397274583996823,0.000246693361476526,0.000608967797294622,2,0.00492273643778277,0.00274222712569106,0.00859372162983683,"CIV","female"
"3095","Jacqueville","Y020_024",0.67977161123522,0.459145872701288,0.835040840464292,0.000653335419618532,0.000405672858945173,0.00100156148212014,2,0.0113325309392957,0.00656292225460841,0.018146593301976,"CIV","female"
"3096","Jacqueville","Y025_029",0.832277963890228,0.688669632651879,0.919724617197912,0.000713274346626603,0.000442884045144009,0.00109347006929654,2,0.0123856696717481,0.00754290643569965,0.0201611389952781,"CIV","female"
"3097","Jangamo","Y010_014",0.614081705861679,0.337363730111184,0.839942535187536,0,0,0,3,0.0124519063406808,0.0083801854580708,0.0184067372245217,"MOZ","female"
"3098","Jangamo","Y015_019",0.69161107283921,0.492725696502227,0.84720992283438,0.00676790781745446,0.00429838374959657,0.0101912195124457,3,0.032501065054209,0.0221593827150074,0.0454044041726281,"MOZ","female"
"3099","Jangamo","Y020_024",0.722925508734262,0.542041840614346,0.862836917155666,0.00677452607303177,0.00430256659641098,0.0102012527306294,3,0.082907908613576,0.0585073893707345,0.114715677598598,"MOZ","female"
"3100","Jangamo","Y025_029",0.782294676665175,0.614830316166188,0.89358700423918,0.00619191277173175,0.00393265537916083,0.00932357050581033,3,0.126060787052966,0.0920316967614506,0.170362455761124,"MOZ","female"
"3101","Jérémie","Y010_014",0.655132604074372,0.44150055736984,0.826174277558181,0,0,0,2,0.000752255245220499,0.000412089001865414,0.00129025566005001,"HTI","female"
"3102","Jérémie","Y015_019",0.649452369171215,0.499729114714019,0.781623086744303,0.000524438177557681,0.000298219059452189,0.000874473308146366,2,0.00214136863477004,0.00128525984787092,0.00351473423227382,"HTI","female"
"3103","Jérémie","Y020_024",0.745681777085184,0.61535393108591,0.851461162467428,0.000709305609576656,0.000403326202208343,0.00118280619366981,2,0.00583704000147299,0.00338012957905469,0.00950409886336176,"HTI","female"
"3104","Jérémie","Y025_029",0.797970729999272,0.684712544686373,0.886124090861842,0.000635350566937961,0.000361279719683669,0.00105945520985017,2,0.011035840128941,0.00651980500908514,0.0177012204507099,"HTI","female"
"3105","Jinja City","Y010_014",0.608886949838636,0.444365903054874,0.758609327808916,0,0,0,3,0.00814426197465617,0.00426555116975871,0.0134208345902036,"UGA","female"
"3106","Jinja City","Y015_019",0.816878490616281,0.69225556801161,0.90247151903092,0.00508377908930201,0.00340959211125158,0.00726011579464424,3,0.0244429154878877,0.0156438428881239,0.0360219810465459,"UGA","female"
"3107","Jinja City","Y020_024",0.789951360342311,0.667480903723877,0.873958680302298,0.00633409289258729,0.00424743806643918,0.00904766242791972,3,0.0624438315088709,0.0425259004621681,0.0885424496916972,"UGA","female"
"3108","Jinja City","Y025_029",0.831803612821479,0.735015145088869,0.903277547351589,0.00571446401815957,0.00383222484995014,0.00816177733566584,3,0.116840000639042,0.0798918108102673,0.16332127939528,"UGA","female"
"3109","Jinja","Y010_014",0.668127966984349,0.50480386253954,0.819334002414228,0,0,0,3,0.0031373756795062,0.00167933652474674,0.0052055070537972,"UGA","female"
"3110","Jinja","Y015_019",0.800066490828111,0.664810029993151,0.891685417996627,0.00189869339029398,0.00104043779574898,0.00310901818782782,3,0.0091575232675448,0.0050028397902466,0.0153543548561612,"UGA","female"
"3111","Jinja","Y020_024",0.770656399496238,0.622261634119533,0.869117229645057,0.00236547425497981,0.0012961109265775,0.00387381883624089,3,0.0234062342209648,0.01271988340349,0.0384056235249662,"UGA","female"
"3112","Jinja","Y025_029",0.815178916929546,0.694646512367326,0.895505325449802,0.0021360574737349,0.0011704531066092,0.00349791975037035,3,0.0408713496281606,0.0228239045160891,0.0655992528068514,"UGA","female"
"3113","Joe Gqabi Dm","Y010_014",0.811598385231976,0.689403568719925,0.901604882014487,0.000148062857785853,0.000109272147156332,0.000196999132718212,2,0.0136298423843153,0.00959501236574213,0.0189162748198092,"ZAF","female"
"3114","Joe Gqabi Dm","Y015_019",0.444772051262229,0.322668867060057,0.570021791701939,0.0102892772317271,0.0066138012855458,0.0148708839282463,2,0.0406712168176255,0.0296716610309725,0.0534554586372203,"ZAF","female"
"3115","Joe Gqabi Dm","Y020_024",0.481170871223426,0.378130151057834,0.595596981993457,0.0153812413127836,0.00987723999924438,0.0222571718303102,2,0.122007314205227,0.089462917904559,0.161433621820817,"ZAF","female"
